Pokemon,AllMountTypes,RidingStyles,Seats,MountType,RidingStyle,SPEED_Min,SPEED_Max,ACCELERATION_Min,ACCELERATION_Max,SKILL_Min,SKILL_Max,JUMP_Min,JUMP_Max,STAMINA_Min,STAMINA_Max,Source,Path
corviknight,"AIR, LAND","bird, horse",2,LAND,horse,35,50,60,80,30,50,30,45,60,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/corviknight.json
crabominable,LAND,horse,1,LAND,horse,15,30,15,30,25,45,5,15,45,80,JourneyMounts,data/cobblemon/species_additions/generation7/crabominable.json
crawdaunt,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,55,30,50,40,70,25,45,40,75,JourneyMounts,data/cobblemon/species_additions/generation3/crawdaunt.json
crawdaunt,"LAND, LIQUID","horse, dolphin",1,LAND,horse,10,25,15,35,25,45,15,30,25,50,JourneyMounts,data/cobblemon/species_additions/generation3/crawdaunt.json
cresselia,"AIR, LAND","bird, horse",1,AIR,bird,80,100,60,85,110,130,45,75,20,50,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/cresselia.json
cresselia,"AIR, LAND","bird, horse",1,LAND,horse,20,35,15,30,80,100,25,35,20,45,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/cresselia.json
crobat,AIR,bird,1,AIR,bird,55,85,45,70,45,70,45,70,35,65,JourneyMounts,data/cobblemon/species_additions/generation2/crobat.json
crustle,LAND,horse,4,LAND,horse,1,5,15,45,25,35,0,5,60,85,Cobblemon-Fabric,data/cobblemon/species/generation5/crustle.json
cyclizar,LAND,horse,1,LAND,horse,90,115,80,100,60,80,35,45,30,60,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/cyclizar.json
darmanitan,LAND,horse,1,LAND,horse,40,50,45,65,15,25,35,45,35,60,Cobblemon-Fabric,data/cobblemon/species/generation5/darmanitan.json
decidueye,"AIR, LAND","bird, horse",1,AIR,bird,30,55,35,60,60,85,35,60,35,65,JourneyMounts,data/cobblemon/species_additions/generation7/decidueye.json
decidueye,"AIR, LAND","bird, horse",1,LAND,horse,20,40,25,45,40,60,15,30,30,55,JourneyMounts,data/cobblemon/species_additions/generation7/decidueye.json
delphox,LAND,horse,1,LAND,horse,30,55,35,60,50,75,20,35,35,60,JourneyMounts,data/cobblemon/species_additions/generation6/delphox.json
dewgong,"LAND, LIQUID","horse, dolphin",2,LIQUID,dolphin,25,45,50,75,30,65,25,50,25,50,Cobblemon-Fabric,data/cobblemon/species/generation1/dewgong.json
dewgong,"LAND, LIQUID","horse, dolphin",2,LAND,horse,10,40,10,40,80,100,10,40,10,40,Cobblemon-Fabric,data/cobblemon/species/generation1/dewgong.json
dhelmise,"LAND, LIQUID","horse, submarine",1,LAND,horse,10,40,10,40,80,100,10,40,10,40,Cobblemon-Fabric,data/cobblemon/species/generation7/dhelmise.json
dhelmise,"LAND, LIQUID","horse, submarine",1,LIQUID,submarine,15,30,40,55,20,30,70,100,45,65,Cobblemon-Fabric,data/cobblemon/species/generation7/dhelmise.json
dialga,"AIR, LAND","bird, horse",1,AIR,bird,110,140,50,80,40,60,30,65,45,77,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/dialga.json
dialga,"AIR, LAND","bird, horse",1,LAND,horse,50,80,55,65,20,55,20,80,55,99,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/dialga.json
dodrio,LAND,horse,1,LAND,horse,65,95,60,85,50,75,25,45,50,80,JourneyMounts,data/cobblemon/species_additions/generation1/dodrio.json
dondozo,"LAND, LIQUID","horse, submarine",7,LIQUID,submarine,65,85,50,70,40,60,10,25,60,75,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/dondozo.json
dondozo,"LAND, LIQUID","horse, submarine",7,LAND,horse,5,15,10,20,10,20,0,0,10,20,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/dondozo.json
donphan,LAND,horse,1,LAND,horse,30,50,30,45,25,40,20,35,60,90,JourneyMounts,data/cobblemon/species_additions/generation2/donphan.json
dracovish,"LAND, LIQUID","horse, submarine",1,LIQUID,submarine,40,65,35,60,40,70,30,55,50,85,JourneyMounts,data/cobblemon/species_additions/generation8/dracovish.json
dracovish,"LAND, LIQUID","horse, submarine",1,LAND,horse,25,45,25,45,30,55,10,25,45,75,JourneyMounts,data/cobblemon/species_additions/generation8/dracovish.json
dracozolt,LAND,horse,1,LAND,horse,35,55,35,60,30,55,20,35,40,70,JourneyMounts,data/cobblemon/species_additions/generation8/dracozolt.json
dragapult,"AIR, LAND, LIQUID","jet, horse, dolphin",1,AIR,jet,55,90,60,85,55,70,45,80,25,35,Cobblemon-Fabric,data/cobblemon/species/generation8/dragapult.json
dragapult,"AIR, LAND, LIQUID","jet, horse, dolphin",1,LIQUID,dolphin,50,65,60,85,55,70,40,55,25,35,Cobblemon-Fabric,data/cobblemon/species/generation8/dragapult.json
dragapult,"AIR, LAND, LIQUID","jet, horse, dolphin",1,LAND,horse,10,40,10,40,80,100,10,40,10,40,Cobblemon-Fabric,data/cobblemon/species/generation8/dragapult.json
dragonite,"AIR, LAND, LIQUID","jet, horse, dolphin",2,AIR,jet,40,60,35,50,50,85,50,70,50,85,Cobblemon-Fabric,data/cobblemon/species/generation1/dragonite.json
dragonite,"AIR, LAND, LIQUID","jet, horse, dolphin",2,LIQUID,dolphin,30,50,30,65,35,50,55,85,60,90,Cobblemon-Fabric,data/cobblemon/species/generation1/dragonite.json
dragonite,"AIR, LAND, LIQUID","jet, horse, dolphin",2,LAND,horse,10,40,10,40,80,100,10,40,10,40,Cobblemon-Fabric,data/cobblemon/species/generation1/dragonite.json
drampa,"AIR, LAND","bird, horse",1,AIR,bird,40,80,50,80,60,90,30,70,35,75,JourneyMounts,data/cobblemon/species_additions/generation7/drampa.json
drampa,"AIR, LAND","bird, horse",1,LAND,horse,20,40,15,35,30,55,5,15,60,90,JourneyMounts,data/cobblemon/species_additions/generation7/drampa.json
drapion,LAND,horse,1,LAND,horse,40,50,30,40,35,60,15,30,40,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/drapion.json
drednaw,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,40,65,35,55,35,60,20,35,45,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/drednaw.json
drednaw,"LAND, LIQUID","horse, dolphin",1,LAND,horse,30,45,25,30,30,50,20,40,45,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/drednaw.json
drifblim,AIR,hover,1,AIR,hover,45,65,20,40,20,40,60,100,40,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/drifblim.json
druddigon,LAND,horse,1,LAND,horse,20,45,20,45,35,65,20,35,45,75,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/druddigon.json
dubwool,LAND,horse,1,LAND,horse,45,70,40,65,30,55,25,45,40,70,JourneyMounts,data/cobblemon/species_additions/generation8/dubwool.json
dudunsparce,LAND,horse,2,LAND,horse,5,25,30,50,30,40,20,45,30,75,Cobblemon-Fabric,data/cobblemon/species/generation9/dudunsparce.json
dusknoir,AIR,hover,1,AIR,hover,55,80,50,70,60,80,45,80,45,75,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/dusknoir.json
electivire,LAND,horse,1,LAND,horse,30,60,30,55,40,70,25,40,40,75,JourneyMounts,data/cobblemon/species_additions/generation4/electivire.json
emboar,LAND,horse,1,LAND,horse,25,45,25,45,35,60,20,35,45,80,JourneyMounts,data/cobblemon/species_additions/generation5/emboar.json
empoleon,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,30,60,30,60,45,75,25,45,40,80,JourneyMounts,data/cobblemon/species_additions/generation4/empoleon.json
empoleon,"LAND, LIQUID","horse, dolphin",1,LAND,horse,15,35,15,35,30,55,15,30,30,60,JourneyMounts,data/cobblemon/species_additions/generation4/empoleon.json
entei,LAND,horse,1,LAND,horse,20,40,30,60,20,50,30,65,60,120,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/entei.json
espathra,LAND,horse,1,LAND,horse,85,105,70,95,50,75,40,55,45,75,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/espathra.json
espeon,LAND,horse,1,LAND,horse,45,75,35,60,45,70,20,35,25,45,JourneyMounts,data/cobblemon/species_additions/generation2/espeon.json
exeggutor,LAND,horse,1,LAND,horse,20,35,20,40,15,35,5,20,40,70,JourneyMounts,data/cobblemon/species_additions/generation1/exeggutor.json
exploud,LAND,horse,1,LAND,horse,15,35,20,40,25,45,15,30,30,55,JourneyMounts,data/cobblemon/species_additions/generation3/exploud.json
farigiraf,LAND,horse,1,LAND,horse,65,80,50,70,50,65,45,55,50,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/farigiraf.json
fearow,"AIR, LAND","bird, horse",1,AIR,bird,75,90,60,85,70,90,30,70,35,75,JourneyMounts,data/cobblemon/species_additions/generation1/fearow.json
fearow,"AIR, LAND","bird, horse",1,LAND,horse,35,55,45,65,30,50,20,35,25,40,JourneyMounts,data/cobblemon/species_additions/generation1/fearow.json
feraligatr,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,35,60,40,65,40,70,30,55,45,80,JourneyMounts,data/cobblemon/species_additions/generation2/feraligatr.json
feraligatr,"LAND, LIQUID","horse, dolphin",1,LAND,horse,30,50,30,55,25,45,25,40,45,70,JourneyMounts,data/cobblemon/species_additions/generation2/feraligatr.json
ferrothorn,LAND,horse,1,LAND,horse,5,20,5,20,45,70,5,15,50,80,JourneyMounts,data/cobblemon/species_additions/generation5/ferrothorn.json
flareon,LAND,horse,1,LAND,horse,25,45,25,45,30,55,25,40,35,65,JourneyMounts,data/cobblemon/species_additions/generation1/flareon.json
fluttermane,AIR,hover,1,AIR,hover,50,60,40,60,80,100,10,20,15,30,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/fluttermane.json
flygon,"AIR, LAND","bird, horse",1,AIR,bird,70,95,50,70,90,115,45,60,45,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/flygon.json
flygon,"AIR, LAND","bird, horse",1,LAND,horse,45,60,40,60,50,70,30,45,25,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/flygon.json
forretress,AIR,hover,1,AIR,hover,15,25,20,40,25,45,5,10,0,5,Cobblemon-Fabric,data/cobblemon/species/generation2/forretress.json
furfrou,LAND,horse,1,LAND,horse,45,70,40,65,30,55,25,40,35,60,JourneyMounts,data/cobblemon/species_additions/generation6/furfrou.json
galvantula,LAND,horse,1,LAND,horse,30,55,30,45,20,40,10,20,45,80,JourneyMounts,data/cobblemon/species_additions/generation5/galvantula.json
garchomp,"AIR, LAND, LIQUID","jet, horse, boat",1,AIR,jet,70,80,50,70,50,60,20,70,30,50,Cobblemon-Fabric,data/cobblemon/species/generation4/garchomp.json
garchomp,"AIR, LAND, LIQUID","jet, horse, boat",1,LIQUID,boat,35,60,75,85,10,25,40,80,5,10,Cobblemon-Fabric,data/cobblemon/species/generation4/garchomp.json
garchomp,"AIR, LAND, LIQUID","jet, horse, boat",1,LAND,horse,40,55,65,75,40,70,30,50,30,45,Cobblemon-Fabric,data/cobblemon/species/generation4/garchomp.json
garganacl,LAND,horse,1,LAND,horse,10,30,10,25,30,55,10,20,55,85,JourneyMounts,data/cobblemon/species_additions/generation9/garganacl.json
gastrodon,LAND,horse,1,LAND,horse,5,10,70,90,0,15,0,10,10,20,Cobblemon-Fabric,data/cobblemon/species/generation4/gastrodon.json
gengar,"AIR, LAND","hover, horse",1,LAND,horse,25,40,35,55,45,65,20,35,30,55,JourneyMounts,data/cobblemon/species_additions/generation1/gengar.json
gengar,"AIR, LAND","hover, horse",1,AIR,hover,30,45,25,45,55,80,25,45,30,60,JourneyMounts,data/cobblemon/species_additions/generation1/gengar.json
girafarig,LAND,horse,1,LAND,horse,70,85,60,80,50,70,30,45,30,50,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/girafarig.json
giratina,"AIR, LAND","jet, horse",1,AIR,jet,120,150,20,40,45,70,10,20,70,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/giratina.json
giratina,"AIR, LAND","jet, horse",1,LAND,horse,10,50,10,50,80,100,25,50,10,50,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/giratina.json
glaceon,LAND,horse,1,LAND,horse,20,45,20,45,35,60,20,35,25,50,JourneyMounts,data/cobblemon/species_additions/generation4/glaceon.json
glalie,AIR,hover,1,AIR,hover,20,40,20,40,40,70,20,35,30,60,JourneyMounts,data/cobblemon/species/generation3/glalie.json
glastrier,LAND,horse,1,LAND,horse,90,110,40,60,40,80,30,65,60,120,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/glastrier.json
gliscor,"AIR, LAND","bird, horse",1,AIR,bird,30,65,45,75,55,85,30,65,30,65,JourneyMounts,data/cobblemon/species_additions/generation4/gliscor.json
gliscor,"AIR, LAND","bird, horse",1,LAND,horse,25,40,55,65,10,25,15,25,20,30,JourneyMounts,data/cobblemon/species_additions/generation4/gliscor.json
gogoat,LAND,horse,1,LAND,horse,45,65,65,75,40,60,40,60,45,65,Cobblemon-Fabric,data/cobblemon/species/generation6/gogoat.json
golem,LAND,horse,1,LAND,horse,18,28,20,35,25,40,10,20,65,95,JourneyMounts,data/cobblemon/species_additions/generation1/golem.json
golisopod,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,35,65,35,60,40,65,25,45,45,80,JourneyMounts,data/cobblemon/species_additions/generation7/golisopod.json
golisopod,"LAND, LIQUID","horse, dolphin",1,LAND,horse,25,40,20,40,45,70,15,30,40,70,JourneyMounts,data/cobblemon/species_additions/generation7/golisopod.json
golurk,"AIR, LAND","rocket, horse",3,AIR,rocket,45,75,10,35,15,30,25,40,30,50,Cobblemon-Fabric,data/cobblemon/species/generation5/golurk.json
golurk,"AIR, LAND","rocket, horse",3,LAND,horse,35,50,65,80,40,65,40,60,60,85,Cobblemon-Fabric,data/cobblemon/species/generation5/golurk.json
goodra,LAND,horse,1,LAND,horse,20,40,30,55,40,70,15,30,45,75,JourneyMounts,data/cobblemon/species_additions/generation6/goodra.json
gougingfire,LAND,horse,1,LAND,horse,50,70,50,70,45,55,35,55,90,110,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/gougingfire.json
granbull,LAND,horse,1,LAND,horse,25,45,35,55,20,40,20,35,35,65,JourneyMounts,data/cobblemon/species_additions/generation2/granbull.json
greninja,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,50,80,60,85,60,85,35,65,40,65,JourneyMounts,data/cobblemon/species_additions/generation6/greninja.json
greninja,"LAND, LIQUID","horse, dolphin",1,LAND,horse,45,75,55,80,50,75,35,55,35,55,JourneyMounts,data/cobblemon/species_additions/generation6/greninja.json
grimmsnarl,LAND,horse,1,LAND,horse,25,45,35,60,40,70,20,40,40,75,JourneyMounts,data/cobblemon/species_additions/generation8/grimmsnarl.json
groudon,LAND,horse,1,LAND,horse,35,65,40,70,30,55,30,65,80,135,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/groudon.json
gyarados,"AIR, LAND, LIQUID","jet, horse, dolphin",1,LIQUID,dolphin,100,120,70,95,60,80,60,80,45,75,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/gyarados.json
gyarados,"AIR, LAND, LIQUID","jet, horse, dolphin",1,AIR,jet,80,100,50,75,55,75,20,45,45,75,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/gyarados.json
gyarados,"AIR, LAND, LIQUID","jet, horse, dolphin",1,LAND,horse,20,30,10,20,10,20,5,15,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/gyarados.json
hariyama,LAND,horse,1,LAND,horse,15,35,15,35,30,55,10,25,45,80,JourneyMounts,data/cobblemon/species_additions/generation3/hariyama.json
hatterene,LAND,horse,1,LAND,horse,25,45,20,40,45,75,10,25,30,55,JourneyMounts,data/cobblemon/species_additions/generation8/hatterene.json
haxorus,LAND,horse,1,LAND,horse,30,55,30,55,35,65,25,45,45,80,JourneyMounts,data/cobblemon/species_additions/generation5/haxorus.json
heatmor,LAND,horse,1,LAND,horse,15,35,15,35,30,55,15,30,40,70,JourneyMounts,data/cobblemon/species_additions/generation5/heatmor.json
heracross,"AIR, LAND","bird, horse",1,AIR,bird,35,50,40,65,55,85,0,5,35,55,Cobblemon-Fabric,data/cobblemon/species/generation2/heracross.json
heracross,"AIR, LAND","bird, horse",1,LAND,horse,15,30,55,70,40,65,35,50,35,50,Cobblemon-Fabric,data/cobblemon/species/generation2/heracross.json
hippowdon,LAND,horse,1,LAND,horse,20,40,15,35,25,45,15,30,60,90,JourneyMounts,data/cobblemon/species_additions/generation4/hippowdon.json
ho-oh,"AIR, LAND","bird, horse",1,AIR,bird,130,160,20,100,50,100,25,50,30,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/hooh.json
ho-oh,"AIR, LAND","bird, horse",1,LAND,horse,10,20,90,100,15,30,10,20,15,30,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/hooh.json
honchkrow,"AIR, LAND","bird, horse",1,LAND,horse,25,40,55,65,10,25,15,25,20,30,Cobblemon-Fabric,data/cobblemon/species/generation4/honchkrow.json
